_,course_id,pre_course_id,course_name,pre_course_name,type,created_at,updated_at
1,20170515,6296,3D그래픽디자인,그래픽디자인,Required,,
2,20160294,20170515,3D어셋크리에이션,3D그래픽디자인,Required,,
3,20170509,850,GPU프로그래밍,컴퓨터그래픽스,Required,,
4,20160295,20160294,몰입형콘텐츠제작,3D어셋크리에이션,Required,,
5,20160295,20200448,몰입형콘텐츠제작,몰입형미디어프로그래밍,Required,,
6,20180403,20180396,객체지향프로그래밍및실습,컴퓨터프로그래밍및실습,Required,,
7,20220375,20120644,콘텐츠사운드제작,디지털사운드기초,Required,,
8,20200471,710,기계학습,자료구조,Required,,
9,20200444,710,데이터마이닝,자료구조,Required,,
10,263,710,데이터베이스,자료구조,Required,,
11,20120613,6296,디지털타이포그래피,그래픽디자인,Required,,
12,20170511,850,렌더링이론,컴퓨터그래픽스,Required,,
13,20170516,20180403,모바일프로그래밍,객체지향프로그래밍및실습,Required,,
14,20190276,6296,모션그래픽디자인,그래픽디자인,Required,,
15,20120572,20120569,미디어애널리틱스,미디어통계,Required,,
16,20120569,4124,미디어통계,확률및통계1,Required,,
17,574,710,알고리즘,자료구조,Required,,
18,50055,850,애니메이션이론,컴퓨터그래픽스,Required,,
19,20120611,20120644,영상사운드제작,디지털사운드기초,Required,,
20,20170506,710,영상처리,자료구조,Required,,
21,12275,6296,VFX스튜디오,그래픽디자인,Required,,
22,631,20180396,운영체제,컴퓨터프로그래밍및실습,Required,,
23,9381,6296,인터랙션디자인,그래픽디자인,Required,,
24,710,20180396,자료구조,컴퓨터프로그래밍및실습,Required,,
25,850,20180396,컴퓨터그래픽스,컴퓨터프로그래밍및실습,Required,,
26,852,710,컴퓨터비젼,자료구조,Required,,
27,20210216,20170515,3D캐릭터애니메이션,3D그래픽디자인,Required,,
28,20210215,20170515,3D캐릭터리깅,3D그래픽디자인,Required,,
29,20220372,20170515,디지털휴먼파이프라인,3D그래픽디자인,Required,,
30,20220373,6296,그래픽디자인역사의이해와응용,그래픽디자인,Required,,
31,20220376,710,실전웹서비스개발,자료구조,Required,,
32,20220376,20180403,실전웹서비스개발,객체지향프로그래밍및실습,Required,,
33,20220377,20160294,가상인간과서비스개발,3D어셋크리에이션,Required,,
34,20220377,20200448,가상인간과서비스개발,몰입형미디어프로그래밍,Required,,